Material class ;  a  ; b ;   c  ;  d  ;  fmin ; fmax 
Vacuum ;  1  ;  0  ;  0  ;   0  ;   0.001 ;  100
Concrete ;  5.31  ;  0 0.0326 0.8095 1-100
Brick ; 3.75 ; 0 ; 0.038 ; 0 ; 1 ; 10
Plasterboard ; 2.94 ; 0 ; 0.0116 ; 0.7076 ; 1 ; 100
Wood ; 1.99 ; 0 ; 0.0047 ; 1.0718 ; 0.001 ; 100
Glass ; 6.27 ; 0 ; 0.0043 ; 1.1925 ; 0.1 ; 100
Ceiling  board ; 1.50 ; 0 ; 0.0005 ; 1.1634 ; 1 ; 100
Chipboard ; 2.58 ; 0 ; 0.0217 ; 0.7800 ; 1 ; 100
Floorboard ; 3.66 ; 0 ; 0.0044 ; 1.3515 ; 50 ; 100
Metal ; 1 ; 0 ; 107 ; 0 ; 1 ; 100
Very  dry  ground ; 3 ; 0 ; 0.00015 ; 2.52 ; 1 ; 10
Medium  dry  ground ; 15 ; −0.1 ; 0.035 ; 1.63 ; 1 ; 10
Wet  ground ; 30 ; −0.4 ; 0.15 ; 1.30 ; 1 ; 10
