VC file,Scenario,Meas Serie,Meas Run,Subject,techno,video file,photo file,Radio file,Date,Start time,Short Notes,notes pendant mesures
1,2.0,1,1,Bernard,TCR,,100-0010,SC2.0_S1_R1_TCR_single,11/06/14,15:44,Subject Walk circularly,Scénario 2.0 : calibration validation .Vc file correspond au fichier de capture  Run annulé  :problème de capture  vitesse de marche élevé
2,2.0,2,2,Bernard ,TCR,,100-0020,SC2.0_S2_R2_TCR_single,11/06/14,15:46,Subject Walk circularly,diminuer la vitesse de marche  
3,2.0,3,3,Bernard ,TCR,,100-0022,SC2.0_S3_R3_TCR_single,11/06/14,15:49,Subject Walk circularly,Un peu plus à l’intérieur du champ de la camera 
4,2.0,4,4,Bernard ,TCR,,100-0024,SC2.0_S4_R4_TCR_single,11/06/14,15:51,Subject Walk circularly,champ du camera préservé + gratter la joue 
5,2.0,5,1,Nicolas,HKB+BS,,100-0030,SC2.0_S5_R1_HKB_single,11/06/14,16:06,Subject Walk circularly,Nicolas équipé du bespoon  à la main droite 
6,2.0,6,2,Nicolas,HKB+BS,,100-0040,SC2.0_S6_R2_HKB_single,11/06/14,16:12,Subject Walk circularly,même chose ras 
7,2.0,7,3,Nicolas,HKB+BS,,100-0042,SC2.0_S7_R3_HKB_single,11/06/14,16:15,Subject Walk circularly,même chose ras 
8,2.0,8,4,Nicolas,HKB+BS,,100-0044,SC2.0_S8_R4_HKB_single,11/06/14,16:17,Subject Walk circularly,même chose ras 
9,2.1a,9,1,Bernard,TCR,,100-0047,SC2.1a_S9_R1_TCR_single,11/06/14,16:27,INTERRUPTED  Subject Walk circularly ++ speed,augmentation de la vitesse par segment. Run interrompue  
10,2.1a,10,2,Bernard ,TCR,,100-0048,SC2.1a_S10_R2_TCR_single,11/06/14,16:29,Subject Walk circularly ++ speed,
11,2.1a,11,3,Bernard,TCR,,100-0050,SC2.1a_S11_R3_TCR_single,11/06/14,16:31,Subject Walk circularly ++ speed,
12,2.1a,12,4,Bernard,TCR,,100-0051,SC2.1a_S12_R4_TCR_single,11/06/14,16:33,Subject Walk circularly ++ speed,
13,2.1a,13,1,Nicolas,HKB+BS,,100-0052,SC2.1a_S13_R1_HKB_single,11/06/14,16:37,Subject Walk circularly without looking BS phone half-way,Nicolas avec le bespoon  a la main  il fait la moitié du trajet avec tel en main et la moitié en mode navigation 
14,2.1a,14,2,Nicolas,HKB+BS,,100-0054,SC2.1a_S14_R2_HKB_single,11/06/14,,Subject Walk circularly + Navigation movement,Nicolas fait des gestes liés à la navigation(recherche de position)
15,2.1a,15,3,Nicolas,HKB+BS,,100-0056,SC2.1a_S15_R3_HKB_single,11/06/14,16:42,Subject Walk slowly without looking BS phone half-way,ne pas regarder le portable pour la marche lente 
16,2.1a,16,4,Nicolas ,HKB+BS,,100-0057,SC2.1a_S16_R4_HKB_single,11/06/14,16:45,Subject Walk slowly without looking BS phone half-way,
17,2.1b,17,1,Bernard,TCR,,100-0058,SC2.1b_S17_R1_TCR_single,11/06/14,16:52,Static subject pointing corners then yoga postures ,Statique Commande gestuelles  + détection de posture: yoga. 
18,2.1b,18,2,Bernard,TCR,,100-0063,SC2.1b_S18_R2_TCR_single,11/06/14,16:54,Static subject pointing corners then yoga postures,
19,2.1b,19,3,Bernard,TCR,,100-0064,SC2.1b_S19_R3_TCR_single,11/06/14,16:57,Static subject pointing corners then yoga postures,
20,2.1b,20,4,Bernard,TCR,,100-0065,SC2.1b_S20_R4_TCR_single,11/06/14,17:00,Static subject pointing corners then yoga postures,
21,2.1b,21,1,Nicolas,HKB+BS,,100-0066,SC2.1b_S21_R1_HKB_single,11/06/14,17:06,Static subject pointing corners (withphone) then yoga postures,Nicolas pointe avec le téléphone en main gauche  pour les commandes.
22,2.1b,22,2,Nicolas,HKB+BS,,100-0070,SC2.1b_S22_R2_HKB_single,11/06/14,17:08,Static subject pointing corners (withphone) then yoga postures,
23,2.1b,23,3,Nicolas,HKB+BS,,100-0072,SC2.1b_S23_R3_HKB_single,11/06/14,17:11,INTERRUPTED Static subject pointing corners (withphone) then yoga postures,Plantage et refaire le début du run. Capteur détaché run interrompu.
24,2.1b,24,4,Nicolas,HKB+BS,,100-0073,SC2.1b_S24_R4_HKB_single,11/06/14,17:13,Static subject pointing corners (withphone) then yoga postures,même vidéo que la S23R3
25,2.1c,25,1,Bernard,TCR,,100-0074,SC2.1c_S25_R1_TCR_single,11/06/14,17:22,Kung-fu Kata,Kung-fu  
26,2.1c,26,2,Bernard,TCR,,100-0076,SC2.1c_S26_R2_TCR_single,11/06/14,17:28,Kung-fu Kata with lost sensor,Remettre des capteurs détachés. Fixer un capteur au cours du run.  Perte d'un capteur.
