Measure,Sensor,tu,ts,d,acy
3,157,1272500000000,1402495959164,0.92355126,0
3,74,1272500000000,1402495959213,0.8347575,0
3,157,1272750000000,1402495959400,0.92355126,0
3,74,1272750000000,1402495959443,0.8414511,0
3,157,1273000000000,1402495959650,0.92355126,0
3,74,1273000000000,1402495959686,0.8758245,0
3,157,1273250000000,1402495959900,0.92355126,0
3,74,1273250000000,1402495959935,0.8758245,0
3,157,1274000000000,1402495960152,0.92355126,0
3,74,1274000000000,1402495960204,0.92414623,0
3,157,1274250000000,1402495960405,1.385091,0
3,74,1274250000000,1402495960473,1.6734344,0
3,157,1274500000000,1402495960651,1.0195476,0
3,74,1274500000000,1402495960706,2.894295,0
3,157,1274750000000,1402495960899,1.2290175,0
3,74,1274750000000,1402495960950,2.894295,0
3,157,1275000000000,1402495961151,1.2290175,0
3,74,1275000000000,1402495961194,2.894295,0
3,157,1275250000000,1402495961406,1.1660719,0
3,74,1275250000000,1402495961444,2.894295,0
3,157,1276000000000,1402495961652,1.3222504,0
3,74,1276000000000,1402495961697,6.335547,0
3,157,1276250000000,1402495961901,1.1356225,0
3,74,1276250000000,1402495961947,6.335547,0
3,157,1276500000000,1402495962149,1.3299935,0
3,74,1276500000000,1402495962186,6.335547,0
3,157,1276750000000,1402495962400,1.3299935,0
3,74,1276750000000,1402495962457,6.335547,0
3,157,1277000000000,1402495962652,1.174014,0
3,74,1277000000000,1402495962700,6.335547,0
3,157,1277250000000,1402495962899,0.81553745,0
3,74,1277250000000,1402495962954,6.335547,0
3,157,1278000000000,1402495963151,0.66437304,0
3,74,1278000000000,1402495963194,6.335547,0
3,157,1278250000000,1402495963397,0.5162611,0
3,74,1278250000000,1402495963443,4.4661164,0
3,157,1278500000000,1402495963652,0.5100144,0
3,74,1278500000000,1402495963699,2.50455,0
3,157,1278750000000,1402495963899,0.5100144,0
3,74,1278750000000,1402495963955,1.1659194,0
3,157,1279000000000,1402495964152,0.5100144,0
3,74,1279000000000,1402495964191,0.80922955,0
3,157,1279250000000,1402495964401,0.5100144,0
3,74,1279250000000,1402495964440,0.32626987,0
3,157,1280000000000,1402495964649,0.5100144,0
3,74,1280000000000,1402495964684,0.32626987,0
3,157,1280250000000,1402495964899,0.5100144,0
3,74,1280250000000,1402495964955,0.8592299,0
3,157,1280500000000,1402495965153,0.5100144,0
3,74,1280500000000,1402495965202,0.8592299,0
3,157,1280750000000,1402495965401,0.5100144,0
3,74,1280750000000,1402495965460,0.8592299,0
3,157,1281000000000,1402495965650,0.5100144,0
3,74,1281000000000,1402495965696,0.8592299,0
3,157,1281250000000,1402495965901,0.5100144,0
3,74,1281250000000,1402495965946,0.844071,0
3,157,1282000000000,1402495966150,0.5100144,0
3,74,1282000000000,1402495966193,0.844071,0
3,157,1282250000000,1402495966402,0.5100144,0
3,74,1282250000000,1402495966441,0.844071,0
3,157,1282500000000,1402495966650,0.5100144,0
3,74,1282500000000,1402495966695,0.844071,0
3,157,1282750000000,1402495966900,0.5100144,0
3,74,1282750000000,1402495966934,0.88189524,0
3,157,1283000000000,1402495967151,0.5100144,0
3,74,1283000000000,1402495967205,0.88189524,0
3,157,1283250000000,1402495967398,0.5100144,0
3,74,1283250000000,1402495967448,0.99457425,0
3,157,1284000000000,1402495967653,0.5100144,0
3,74,1284000000000,1402495967694,1.2024077,0
3,157,1284250000000,1402495967899,0.5100144,0
3,74,1284250000000,1402495967946,1.2024077,0
3,157,1284500000000,1402495968152,0.5100144,0
3,74,1284500000000,1402495968194,1.2024077,0
3,157,1284750000000,1402495968402,0.5100144,0
3,74,1284750000000,1402495968442,1.2024077,0
3,157,1285000000000,1402495968654,0.5100144,0
3,74,1285000000000,1402495968688,1.2024077,0
3,157,1285250000000,1402495968901,0.5100144,0
3,74,1285250000000,1402495968939,1.2024077,0
3,157,1286000000000,1402495969161,0.5100144,0
3,74,1286000000000,1402495969210,1.2024077,0
3,157,1286250000000,1402495969400,0.5100144,0
3,74,1286250000000,1402495969461,1.2024077,0
3,157,1286500000000,1402495969654,0.5100144,0
3,74,1286500000000,1402495969702,1.2024077,0
3,157,1286750000000,1402495969901,0.5100144,0
3,74,1286750000000,1402495969945,1.2024077,0
3,157,1287000000000,1402495970159,0.5100144,0
3,74,1287000000000,1402495970200,1.2024077,0
3,157,1287250000000,1402495970402,0.5100144,0
3,74,1287250000000,1402495970449,1.1733172,0
3,157,1288000000000,1402495970654,0.5100144,0
3,74,1288000000000,1402495970698,1.1733172,0
3,157,1288250000000,1402495970904,0.5100144,0
3,74,1288250000000,1402495970948,1.1733172,0
3,157,1288500000000,1402495971157,0.5100144,0
3,74,1288500000000,1402495971191,1.1590044,0
3,157,1288750000000,1402495971400,0.5100144,0
3,74,1288750000000,1402495971439,1.0225141,0
3,157,1289000000000,1402495971656,0.5100144,0
3,74,1289000000000,1402495971706,0.9087524,0
3,157,1289250000000,1402495971901,0.5100144,0
3,74,1289250000000,1402495971954,0.8521609,0
3,157,1290000000000,1402495972150,0.5100144,0
3,74,1290000000000,1402495972199,0.8521609,0
3,157,1290250000000,1402495972402,0.5100144,0
3,74,1290250000000,1402495972449,0.8521609,0
3,157,1290500000000,1402495972657,0.4812857,0
3,74,1290500000000,1402495972699,0.8521609,0
3,157,1290750000000,1402495972909,0.4775887,0
3,74,1290750000000,1402495972948,0.9980374,0
3,157,1291000000000,1402495973150,0.4775887,0
3,74,1291000000000,1402495973196,1.044895,0
3,157,1291250000000,1402495973405,0.4775887,0
3,74,1291250000000,1402495973444,1.044895,0
3,157,1292000000000,1402495973652,0.4775887,0
3,74,1292000000000,1402495973695,1.4006215,0
3,157,1292250000000,1402495973901,0.4775887,0
3,74,1292250000000,1402495973966,1.4006215,0
3,157,1292500000000,1402495974151,0.4775887,0
3,74,1292500000000,1402495974203,1.4006215,0
3,157,1292750000000,1402495974399,0.4775887,0
3,74,1292750000000,1402495974453,1.1942817,0
3,157,1293000000000,1402495974653,0.4775887,0
3,74,1293000000000,1402495974709,1.1942817,0
3,157,1293250000000,1402495974903,0.4775887,0
3,74,1293250000000,1402495974954,1.1942817,0
3,157,1294000000000,1402495975149,0.4775887,0
3,74,1294000000000,1402495975195,1.1942817,0
3,157,1294250000000,1402495975402,0.4775887,0
3,74,1294250000000,1402495975447,1.1942817,0
3,157,1294500000000,1402495975658,0.4775887,0
